Material;ID;Load.max
Virgin;100;3,28940063476563
Virgin;40;1,87192797851563
Virgin;55;1,98000000000000
Virgin;70;2,14508715820313
Virgin;85;2,29569018554688
Recycled;100;3,02975708007813
Recycled;40;1,80000000000000
Recycled;55;1,93000000000000
Recycled;70;2,08284106445313
Recycled;85;2,24160034179688
