"File Path: D:\Ensayos Víctor\Fase II\PLA virgen\Test Run 1 16-05-2019 10 36 54\DAQ- Crosshead; … - (Timed).txt   "					
Test: ENSAYOS TRACCION PLA 2					
Test Run: Test Run 1					
Date: 16/05/2019 10:33:33					
					
					
Crosshead 	Load 	Time 		carga maxima	
mm	kN	sec		2,145087158	
0,000254313	0,062232121	0,162			
0,000762939	0,062279949	0,261999995			
0,001373291	0,062458515	0,361999989			
0,001881917	0,062598179	0,462000012			
0,002441406	0,062671543	0,561999977			
0,002848307	0,062810871	0,662			
0,003356934	0,06290884	0,762000024			
0,003916422	0,063400845	0,861999989			
0,004577637	0,064317627	0,962000012			
0,005340576	0,065392303	1,062000036			
0,006154378	0,06609095	1,161999941			
0,00696818	0,066351357	1,261999965			
0,007832845	0,066514725	1,361999989			
0,008646647	0,066775017	1,462000012			
0,009460449	0,067016968	1,562000036			
0,010325114	0,0671511	1,661999941			
0,011138916	0,06733168	1,761999965			
0,011952718	0,06763559	1,861999989			
0,012817382	0,067813049	1,962000012			
0,013631185	0,067995071	2,062000036			
0,014444987	0,068152084	2,161999941			
0,015258789	0,068630867	2,262000084			
0,016072592	0,068862724	2,361999989			
0,016886393	0,069212502	2,461999893			
0,017700195	0,069444572	2,562000036			
0,018564859	0,069914673	2,661999941			
0,019378662	0,070209267	2,762000084			
0,020192465	0,070779755	2,861999989			
0,021057129	0,071172516	2,961999893			
0,021870932	0,071567497	3,062000036			
0,022735596	0,072106506	3,161999941			
0,02360026	0,072213837	3,262000084			
0,024414063	0,072751892	3,361999989			
0,025278727	0,072969292	3,461999893			
0,02609253	0,073142578	3,562000036			
0,026957194	0,073541962	3,661999941			
0,027821859	0,073981895	3,762000084			
0,028635661	0,074382065	3,861999989			
0,029500326	0,074584183	3,961999893			
0,03036499	0,07487072	4,061999798			
0,031178792	0,075057518	4,162000179			
0,032043456	0,075319679	4,262000084			
0,032857257	0,075825287	4,361999989			
0,033721924	0,076137573	4,461999893			
0,034535726	0,076338837	4,561999798			
0,035349531	0,076778862	4,662000179			
0,036214191	0,077082924	4,762000084			
0,037027996	0,077402962	4,861999989			
0,037841797	0,077826965	4,961999893			
0,038655598	0,078163094	5,061999798			
0,039469403	0,078630699	5,162000179			
0,040283205	0,079048576	5,262000084			
0,041147869	0,079865036	5,361999989			
0,04196167	0,080715431	5,461999893			
0,042775471	0,081373016	5,561999798			
0,043640135	0,08266748	5,662000179			
0,044453936	0,083391563	5,762000084			
0,045318604	0,084160255	5,861999989			
0,046132405	0,084963013	5,961999893			
0,046997069	0,086072784	6,061999798			
0,04781087	0,086880203	6,162000179			
0,048675538	0,087635223	6,262000084			
0,049489339	0,088804306	6,361999989			
0,050354003	0,08971933	6,461999893			
0,051218671	0,091100571	6,561999798			
0,052032472	0,091641045	6,662000179			
0,052897136	0,092999245	6,762000084			
0,053710937	0,094089027	6,861999989			
0,054575605	0,095375893	6,961999893			
0,055389406	0,096599686	7,061999798			
0,056203204	0,097604149	7,162000179			
0,057067871	0,098948204	7,262000084			
0,057881673	0,100026306	7,361999989			
0,058695477	0,101323212	7,461999893			
0,059509279	0,102689629	7,561999798			
0,060323076	0,104059509	7,662000179			
0,061136881	0,105430191	7,762000084			
0,061950683	0,106666397	7,861999989			
0,062764491	0,108000587	7,961999893			
0,063578285	0,109611778	8,062000275			
0,064392087	0,110733017	8,161999702			
0,065256754	0,112286804	8,262000084			
0,066070555	0,113351913	8,362000465			
0,066884364	0,114839691	8,461999893			
0,067749024	0,11605677	8,562000275			
0,068562826	0,117450203	8,661999702			
0,069427493	0,119003899	8,762000084			
0,070241294	0,120209412	8,862000465			
0,071105955	0,121670532	8,961999893			
0,071919763	0,122752731	9,062000275			
0,072784424	0,124036972	9,161999702			
0,073649084	0,125267548	9,262000084			
0,074513759	0,126232368	9,362000465			
0,075327553	0,127188591	9,461999893			
0,07619222	0,128238846	9,562000275			
0,077056888	0,129166946	9,661999702			
0,077870689	0,130076553	9,762000084			
0,078735349	0,130707611	9,862000465			
0,079600017	0,131588852	9,961999893			
0,080413818	0,13222052	10,06200027			
0,081278478	0,132810028	10,1619997			
0,082092287	0,133213486	10,26200008			
0,082906088	0,134008545	10,36200047			
0,08371989	0,134716202	10,46199989			
0,084533691	0,135334213	10,56200027			
0,085398351	0,136094803	10,6619997			
0,08621216	0,137001984	10,76200008			
0,087025961	0,137680847	10,86200047			
0,087890628	0,138570251	10,96199989			
0,08870443	0,139499512	11,06200027			
0,089518224	0,140467468	11,1619997			
0,090332032	0,141379517	11,26200008			
0,091196693	0,142182236	11,36200047			
0,092010501	0,143219849	11,46199989			
0,092875161	0,144085571	11,56200027			
0,093688963	0,145102676	11,6619997			
0,09455363	0,146104416	11,76200008			
0,095367432	0,147336655	11,86200047			
0,096232092	0,148796875	11,96199989			
0,0970459	0,150442215	12,06200027			
0,097910561	0,152067795	12,1619997			
0,098724362	0,153703217	12,26200008			
0,09958903	0,155337296	12,36200047			
0,100402831	0,156779022	12,46199989			
0,101216639	0,15844754	12,56200027			
0,1020813	0,15996817	12,6619997			
0,102895101	0,161528824	12,76200008			
0,103708902	0,163273727	12,86200047			
0,104522704	0,164713272	12,96199989			
0,105336512	0,166284531	13,06200027			
0,106150306	0,167755325	13,1619997			
0,106964115	0,16945578	13,26200008			
0,107777916	0,171024994	13,36200047			
0,10859171	0,172505096	13,46199989			
0,109405519	0,174174103	13,56200027			
0,11021932	0,17575	13,6619997			
0,111083988	0,177492874	13,76200008			
0,111897789	0,17892955	13,86200047			
0,112711583	0,180602539	13,96199989			
0,113525391	0,182318588	14,06200027			
0,114390052	0,183853424	14,1619997			
0,11520386	0,185539703	14,26200008			
0,116068521	0,187511597	14,36200047			
0,116882322	0,189036713	14,46199989			
0,117746989	0,190679749	14,56200027			
0,118560791	0,19262944	14,6619997			
0,119425451	0,194369232	14,76200008			
0,12023926	0,196146423	14,86200047			
0,12110392	0,197855728	14,96199989			
0,121968587	0,19965686	15,06200027			
0,122833255	0,201582214	15,1619997			
0,123647056	0,20316803	15,26200008			
0,124511716	0,205012543	15,36200047			
0,125376391	0,206672943	15,46199989			
0,126190193	0,208483795	15,56200027			
0,127003979	0,210188431	15,6619997			
0,127868654	0,212238983	15,76200008			
0,128682455	0,213504044	15,86200047			
0,129496257	0,215451874	15,96199989			
0,130360917	0,216955322	16,06200027			
0,131174733	0,219331924	16,16200066			
0,13198852	0,220427063	16,26199913			
0,132802321	0,222462845	16,36199951			
0,133616137	0,22427005	16,46199989			
0,134480782	0,226268997	16,56200027			
0,135294598	0,22767334	16,66200066			
0,1361084	0,22943425	16,76199913			
0,136973074	0,231051788	16,86199951			
