File Path: D:\Ensayos Víctor\Fase III\Reciclado\vertical\Test Run 5 16-05-2019 13 31 22\DAQ- Crosshead; … - (Timed).txt   
Test: ENSAYOS TRACCION PLA 4
Test Run: Test Run 5
Date: 16/05/2019 13:29:05


Crosshead 	Load 	Time 
mm	kN	sec
0,30263265944086	0,532552978515625	36,8110008239746
0,303446431644261	0,534297119140625	36,9109992980957
0,304260262055323	0,535762756347656	37,0110015869141
0,305124907754362	0,537318176269531	37,1110000610352
0,305938709061593	0,538893310546875	37,2109985351563
0,306752539472654	0,5404365234375	37,3110008239746
0,307617185171694	0,541948120117188	37,4109992980957
0,308430986478925	0,543508361816406	37,5110015869141
0,309295661281794	0,545050354003906	37,6110000610352
0,310109462589026	0,546754028320313	37,7109985351563
0,310974108288065	0,548157165527344	37,8110008239746
0,311787938699126	0,549806091308594	37,9109992980957
0,312652584398165	0,551480163574219	38,0110015869141
0,313517230097204	0,55297265625	38,1110000610352
0,314331060508266	0,554478210449219	38,2109985351563
0,315195706207305	0,556157470703125	38,3110008239746
0,316060381010175	0,557908935546875	38,4109992980957
0,316874182317406	0,559322387695313	38,5110015869141
0,317687983624637	0,560917419433594	38,6110000610352
0,318552629323676	0,562434326171875	38,7109985351563
0,319366459734738	0,563808715820313	38,8110008239746
0,320180261041969	0,565450500488281	38,9109992980957
0,3209940623492	0,567030212402344	39,0110015869141
0,32185873715207	0,568495544433594	39,1110000610352
0,322672509355471	0,570054443359375	39,2109985351563
0,323486339766532	0,571360900878906	39,3110008239746
0,324300141073763	0,573095031738281	39,4109992980957
0,325113913277164	0,574552001953125	39,5110015869141
0,325927743688226	0,575988342285156	39,6110000610352
0,326792389387265	0,577560729980469	39,7109985351563
0,327606190694496	0,579141235351563	39,8110008239746
0,328420021105558	0,580597717285156	39,9109992980957
0,329233793308958	0,582183715820313	40,0110015869141
0,330098468111828	0,583729248046875	40,1110000610352
0,330912269419059	0,585126220703125	40,2109985351563
0,331776944221929	0,586688903808594	40,3110008239746
0,332641589920968	0,588306701660156	40,4109992980957
0,333455420332029	0,589828918457031	40,5110015869141
0,334320066031069	0,591490783691406	40,6110000610352
0,3351338673383	0,593037719726563	40,7109985351563
0,335998542141169	0,594468566894531	40,8110008239746
0,336812343448401	0,596043518066406	40,9109992980957
0,33767698914744	0,597625305175781	41,0110015869141
0,338490819558501	0,59917529296875	41,1110000610352
0,339304591761902	0,600689880371094	41,2109985351563
0,340169266564772	0,602138366699219	41,3110008239746
0,340983067872003	0,603557250976563	41,4109992980957
0,341796869179234	0,605190124511719	41,5110015869141
0,342610699590296	0,606479125976563	41,6110000610352
0,343424471793696	0,607974304199219	41,7109985351563
0,344238273100927	0,609497924804688	41,8110008239746
0,345052103511989	0,610967102050781	41,9109992980957
0,34586587571539	0,61243798828125	42,0110015869141
0,346679677022621	0,613868713378906	42,1110000610352
0,347493507433683	0,615375183105469	42,2109985351563
0,348307279637083	0,616915100097656	42,3110008239746
0,349121080944315	0,61822119140625	42,4109992980957
0,349934911355376	0,619782165527344	42,5110015869141
0,350748683558777	0,621255249023438	42,6110000610352
0,351613358361647	0,622835327148438	42,7109985351563
0,352427159668878	0,624313110351563	42,8110008239746
0,353240960976109	0,626093688964844	42,9109992980957
0,354105635778978	0,627209289550781	43,0110015869141
0,35491943708621	0,628752014160156	43,1110000610352
0,355784082785249	0,630521057128906	43,2109985351563
0,35659791319631	0,632077392578125	43,3110008239746
0,35746255889535	0,63375927734375	43,4109992980957
0,358276360202581	0,635106323242188	43,5110015869141
0,35914103500545	0,636761901855469	43,6110000610352
0,36000570980832	0,638257019042969	43,7109985351563
0,360819482011721	0,639782775878906	43,8110008239746
0,361684185918421	0,641375793457031	43,9109992980957
0,36254883161746	0,642863708496094	44,0110015869141
0,363362632924691	0,644586608886719	44,1110000610352
0,36422730772756	0,64618408203125	44,2109985351563
0,365041109034792	0,647645690917969	44,3110008239746
0,365854881238192	0,649170593261719	44,4109992980957
0,366719585144892	0,650604370117188	44,5110015869141
0,367533357348293	0,652215087890625	44,6110000610352
0,368347158655524	0,6536826171875	44,7109985351563
0,369211833458394	0,655110534667969	44,8110008239746
0,370025634765625	0,656647705078125	44,9109992980957
0,370839436072856	0,658073181152344	45,0110015869141
0,371653237380087	0,659566101074219	45,1110000610352
0,372517912182957	0,661064147949219	45,2109985351563
0,373331684386358	0,662604919433594	45,3110008239746
0,374145514797419	0,664240966796875	45,4109992980957
0,375010160496458	0,665643310546875	45,5110015869141
0,37582396180369	0,667234985351563	45,6110000610352
0,376688636606559	0,668789672851563	45,7109985351563
0,37750243791379	0,670171142578125	45,8110008239746
0,378316239221022	0,671571166992188	45,9109992980957
0,379180914023891	0,673066833496094	46,0110015869141
0,379994715331122	0,67459716796875	46,1110000610352
0,380859361030161	0,676129089355469	46,2109985351563
0,381673191441223	0,677476684570313	46,3110008239746
0,382537837140262	0,679127075195313	46,4109992980957
0,383351667551324	0,680708068847656	46,5110015869141
0,384165439754725	0,68216796875	46,6110000610352
0,385030114557594	0,683660461425781	46,7109985351563
0,385843915864825	0,685170166015625	46,8110008239746
